LAT,LONG,TIPOLOGIA__Bosco,TIPOLOGIA__Canneto,TIPOLOGIA__Macchia,CODICE COL__Arancione,CODICE COL__Bianco,CODICE COL__Giallo,CODICE COL__Rosso,CODICE COL__Verde,ANNO,MESE
40.758685,16.738841,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,7.0
41.1325,16.798611,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,7.0
41.012097,16.54799,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,7.0
41.086494,16.952211,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,7.0
40.880667,16.765111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,8.0
40.812492,16.558096,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,8.0
40.811111,16.575,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,8.0
41.117778,16.756667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,8.0
40.812618,16.912239,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,8.0
40.88161,16.227671,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,8.0
40.922667,16.934565,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,8.0
40.831777,16.400326,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,8.0
40.778492,16.449656,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,8.0
40.981167,16.48875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.870278,16.776389,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.781972,16.44725,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.729669,16.852424,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.718667,16.42325,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.729155,16.853136,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.967056,16.540139,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.803441,16.437398,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.787751,16.450574,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.755856,16.452236,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.917478,16.936408,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.760814,16.428903,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.803915,16.419188,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.748432,16.458265,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.793889,16.724444,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.763252,16.464933,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.798392,16.393378,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.70475,16.431222,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.718056,16.498056,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
40.804722,16.690833,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,9.0
40.797583,16.363389,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2023.0,9.0
41.030833,16.431111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,10.0
41.041944,16.373333,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,10.0
40.773346,16.407887,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,10.0
40.923889,16.648889,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2023.0,10.0
40.846036,16.769612,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2023.0,10.0
40.948895,16.612503,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,5.0
40.758682,16.374221,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,5.0
40.866704,16.760796,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.827694,16.418583,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.827083,17.264694,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.93145,16.947515,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.925401,16.653658,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.846929,16.95487,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2022.0,6.0
40.742887,16.377525,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.96272,16.57316,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.951472,16.670667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.954464,16.548975,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.819778,17.17075,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.795833,16.428388,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.847222,16.521111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.82525,16.410111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,6.0
40.820728,16.375562,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2022.0,7.0
40.873667,16.78125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
41.067222,16.775278,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
41.028762,16.397475,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2022.0,7.0
